,fbest,first,freq,nPop,sol,time
0,[7.31487734],100,"104.62183074713303, 499.27029947935597, 830.5358544221992, 981.0126593321377, 1737.8670380701753, 2197.404178781311",20,1000010110111001111111110000100010000111,688.5848953723907
1,[5.58125402],100,"112.42650430938242, 503.538673793551, 880.8234740530826, 1099.0060817784558, 1712.5234580782494, 2142.521120873624",40,0001111010011111111111110000001000001100,1423.7062089443207
2,[7.47520143],100,"100.61498072397292, 497.35856054199314, 810.0411248770409, 866.8066815482518, 1702.6343444588163, 2104.9346855386084",60,0101001110001111101100000001100010000110,1885.8782289028168
3,[5.76082388],100,"99.79633002492123, 517.1129998917272, 791.3760894218974, 1072.9110326532486, 1680.963286430951, 2105.904383889332",80,0001110011111111111101101000000000100011,2404.6148538589478
4,[6.5736096],100,"104.8238967377628, 507.09747063272965, 803.1772770924916, 1012.176263998444, 1701.3529422124323, 2104.626598528323",100,1010000111101111100111010000010000000111,3411.484508752823
5,[8.28964613],100,"117.57145249573493, 504.6255885375414, 894.9800544829814, 948.4745328403139, 1752.5474309154447, 2111.5938680059676",20,0111000110011101100110110000000001101111,527.432736158371
6,[7.09915764],100,"110.04205717496252, 489.00728574764753, 897.097417368797, 945.683484780798, 1704.8072490535012, 2152.372755746228",40,1001000110101111011110000000100000100011,1204.7605993747711
7,[6.52861677],100,"110.70189074646721, 495.1211030574341, 852.3514707957601, 1030.19791097808, 1724.0866459354095, 2100.6065028324974",60,1010000111111001100111110000000001100101,1675.446792125702
8,[4.84763664],100,"99.8543617664872, 526.178373314711, 869.1891358576526, 1073.2917773537333, 1682.018532830663, 2137.4692542350863",80,0111111100001111111111110000000001000110,2388.65300989151
9,[7.46337297],100,"117.67628485831546, 498.77821006414814, 898.7522053191277, 1006.761762731718, 1701.7027818872184, 2185.3439995682493",100,1000100110101111111111110000100000101101,2567.95921254158
10,[5.45896712],100,"100.36814714611684, 502.41325993681784, 813.9839491631875, 1012.3740718628636, 1703.0731629584877, 2099.1638032703313",20,1000001111111001111101010000100000100010,699.4327545166016
11,[6.57510605],100,"101.19294817162366, 480.8746967871076, 826.567638286441, 967.6031544065115, 1692.4884169535396, 2105.515234791449",40,0001110010111111111100000010100100000000,1216.376362323761
12,[7.94691449],100,"105.67384857837249, 490.2136308427903, 857.2601453484654, 906.9029358734942, 1701.8211156251634, 2204.0787649543436",60,0001100110001011111100000001001000100001,1888.661758184433
13,[6.08079999],100,"107.4373907904009, 490.3917375470094, 842.1853411345189, 1041.2745448383364, 1702.0532937661164, 2085.7375219743026",80,1001001010011111101011110000000001000110,2251.2826058864594
14,[6.55302791],100,"104.53235597776896, 500.70157744113567, 876.977530936435, 924.7603434957307, 1725.248392407848, 2136.4907631313217",100,1001100001011001111100010000000100100111,2970.764731645584
15,[8.79117725],100,"109.78429065829839, 499.48128560926676, 884.6813300337802, 902.0278225058765, 1726.798127750369, 2288.3143632047695",20,0001100111101111100000011000010010001100,594.9425539970398
16,[9.04317479],100,"112.71624542312486, 476.7911816986984, 895.9274084112234, 959.5634852982913, 1560.6040992309277, 2143.2882740776527",40,1000100101011101110100000010000000110010,1096.0228793621063
17,[5.77136179],100,"101.21672547503165, 499.5704568172576, 878.5094804748509, 943.9349392773727, 1730.323143047206, 2062.9482982094455",60,1111100000011111011100010000000001100100,1874.0021448135376
18,[7.26262249],100,"110.5594186923124, 499.27643833232923, 850.7474110179467, 971.5643450911092, 1716.4659546276366, 2124.490773249051",80,0101100010011111111100010000010100001010,2074.9364178180695
19,[5.91683914],100,"114.94062666891, 486.3228195425131, 902.6368450901246, 1114.5579870259392, 1671.8058256434936, 2133.783502113527",100,0001111010011111111111110000000001000010,3267.387792110443
20,[7.95427744],100,"100.97496279196976, 503.0894296572693, 826.0351603790792, 837.8046816818375, 1733.755524941504, 2107.8833002559873",20,1001100001011001101101000000000100011111,537.8294970989227
21,[7.12833074],100,"111.15558290838409, 495.05676543058684, 876.3061627744044, 1093.4195945767522, 1691.638117301232, 2343.819033409208",40,0001111010011111111100000111000100000100,976.6443710327148
22,[6.12382707],100,"109.24312284378249, 487.4562562851067, 897.2014603926069, 992.9186973860005, 1707.6835907423595, 2087.2629240069",60,1001100001010111101111100000000000100111,1691.5461246967316
23,[5.98252354],100,"115.42111354982774, 486.39049974979093, 889.818050330382, 1087.482561903305, 1702.9861520069016, 2102.0506222834765",80,1000010101111101111111110000000001000010,2115.65007853508
24,[6.38724992],100,"114.93121617633298, 506.59195891352334, 873.4486497823501, 1056.6731648072487, 1699.3939996805968, 2107.783557338361",100,1001001011010101101111110000000001000010,3165.648745775223
25,[9.86396157],100,"116.10919781043297, 486.5303093702295, 883.4312277077265, 1019.3948029194974, 1695.8838586190054, 2450.962870347613",20,1000101011011001111100001000010000101100,650.2336137294769
26,[5.19115006],100,"99.78606248120943, 497.5761862407074, 850.392875680475, 990.7105656294647, 1683.8262029863822, 2104.0614545319",40,1001100000111101011111110000000001100110,1288.896704673767
27,[7.36496097],100,"107.94827593951877, 498.07798171610386, 889.2664769517551, 916.3830107653828, 1704.3510425544546, 2202.890123662176",60,1001101000011011111100001000000100100011,1541.6143782138824
28,[7.14265436],100,"110.22844320278497, 496.47669583364865, 842.7137762746751, 998.5050587151183, 1728.7194233189907, 2085.7958148899056",80,0101100011011001101110100000000001100110,2455.9585905075073
29,[6.29025187],100,"113.4785905126029, 501.41180710722915, 874.0167264436913, 1027.4732995994157, 1700.7654963655498, 2098.2169452971234",100,1000010111111111111100111000000000010110,2801.019671678543
30,[8.20333024],100,"117.76204310781011, 502.21288702973277, 895.8153001014663, 991.3254084235468, 1679.1766703351777, 2217.2071565827514",20,0111100010111111111100000011000010010000,639.4765863418579
31,[7.18446295],100,"113.65690086773633, 488.9521421512414, 895.1924405757557, 976.2159956672359, 1678.5852361433854, 2111.339541346629",40,1001100010011100111111110000000001101011,1144.618357181549
32,[6.95716895],100,"111.89516148529539, 511.8505614925276, 892.2159960535778, 965.7129297189776, 1688.5739432753955, 2095.2468692334937",60,0111100110000111011111110000000011001110,1503.8967258930206
33,[6.69038277],100,"103.84852109485442, 490.7783900053341, 817.718675392379, 981.5600315923018, 1686.8179133106046, 2099.2380130895262",80,0011100011111111111100000101000100000001,2525.328208208084
34,[6.52614658],100,"98.34034410834111, 526.7033202865579, 880.8382840497621, 939.7649944676089, 1730.7000576657288, 2110.735392714018",100,1001000110001111101100010000001001000100,2604.4696955680847
35,[8.11293],100,"118.78926631883192, 502.464632490095, 906.3247288627979, 1060.1002408591364, 1716.2800033615777, 2294.904457639366",20,0001100111110011111110010000100001001110,551.68869972229
36,[6.63235528],100,"112.02171292144885, 498.30962816980036, 849.0108467924769, 1023.6056073099803, 1706.694676163794, 2097.6066019669734",40,0101100011111101010111110000100000000111,1206.335428237915
37,[4.94887958],100,"101.92438379131694, 500.7334225859035, 862.9634331852999, 1016.04944469873, 1672.688922411665, 2098.7788354377094",60,1001110000011111111111110000000001100110,1774.3310010433197
38,[5.10873878],100,"100.23529796043428, 498.15858208849926, 847.8309450488971, 987.7838423484635, 1701.1906517272098, 2103.4780956247578",80,1001000111001101011111110000000001100110,2703.8817088603973
39,[6.95982473],100,"115.16341047357702, 495.88558207836604, 898.8705696882306, 973.2145832981475, 1701.123646552729, 2109.318234688903",100,1100100101011001111111110000000001110111,2770.6750872135162
40,[7.98367258],100,"106.55659376570306, 499.9566478245738, 812.0522845250705, 922.2908795590048, 1681.0310951888837, 2129.2831816762164",20,1000100100111110110100010000010011100100,617.5983655452728
41,[5.94097822],100,"108.18317702123595, 489.82425721495105, 903.1080327147412, 988.9945022912545, 1698.7499605838823, 2122.788679818948",40,1001000111101101100111110000000010100111,1192.977474451065
42,[6.46892271],100,"109.4744242079143, 488.96506739433556, 883.6323433084636, 973.5612072321109, 1698.430086547332, 2102.319928761927",60,1000100101011111101111110000000101001111,2099.640622615814
43,[6.58310507],100,"100.83484963798325, 540.8011430371056, 885.2268898934611, 968.8760269056564, 1646.0268653590815, 2104.5387373276367",80,1101101100001110111001110000000000010010,2196.9011149406433
44,[5.79549964],100,"114.93161288712632, 486.85564728712484, 902.6216911833384, 1109.2328849728156, 1684.137570424173, 2127.5884939277744",100,1000011110011111111111110000000001000010,3094.7401411533356
45,[5.91720501],100,"101.43082000419582, 496.93525689726744, 805.5377105372936, 1065.0150053320424, 1706.0897686022047, 2195.1228803562094",20,0001110011011111111101000000011000000010,580.3585171699524
46,[6.5474817],100,"112.99420365309652, 501.8964441663606, 898.6195905284264, 972.2367612476409, 1696.4632895783946, 2107.0858257865852",40,1010100100011111110111100000000011101110,1242.0400626659393
47,[5.71262225],100,"103.38052635596112, 502.94075082013836, 815.0523382748588, 1034.6460752744283, 1695.8465173608527, 2095.5424344314256",60,0011100011111111100111110000001000000011,1783.5488471984863
48,[6.92013391],100,"111.58432399004415, 495.8395049402349, 885.0946811817571, 990.9251841174452, 1702.5130916111514, 2174.0338027406565",80,1000100101011011111100110000001000011110,2216.300727367401
49,[6.87621036],100,"106.73711752601692, 505.0756479137516, 811.7470042515808, 1004.0313268320151, 1690.1250841675944, 2092.620007435366",100,1010000111101101101011110000000001100001,2647.7440679073334
