,f1,fbest,freq,grad,nPop,sol,time
0,50,[205.89288437],"43.386577460007764, 322.456555774843, 404.1159632672078, 434.2244178260389, 965.9497542680759, 1580.3134577105675",50,40,0000000000000000000000000000000011111111,1185.2459619045258
1,50,[84.27123094],"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",100,40,0000000000000000000000000000000000001111,1270.7641043663025
2,50,[17.59695314],"51.12457121298136, 324.01706754028453, 468.3145491406572, 621.2516929089445, 1002.856753441197, 1546.1237991513278",200,40,0000000011110000111100000000000011101111,1403.5445113182068
3,50,[10.82603665],"60.6029965765072, 354.4700736201306, 554.4920301404754, 718.8614936509528, 1275.1941581454257, 1527.7787768325866",300,40,0000000011111111111100000000000000100110,1158.7553663253784
4,50,[15.54309062],"73.45239438439319, 454.1755897192569, 665.0545964481835, 994.6953484216193, 1674.238137999369, 2086.371369978166",400,40,0000110111011111110101100000010000101110,1326.5880308151245
5,50,[23.06263859],"76.63570805594667, 646.9109088412744, 820.6978616442451, 1000.6253664570766, 2432.6045594129528, 3161.7165958330734",600,40,0111000011111111110101010110011111111011,1188.1524901390076
6,50,[30.39734647],"79.13685675269248, 724.0594918051987, 1022.5054209728474, 1078.5389277802071, 2829.4324784490695, 4144.985395115654",800,40,1111000011111111111111111111111111110001,1355.1843395233154
7,100,[152.84724767],"48.84031125266483, 328.06219698672703, 452.8877164486032, 498.1703278047928, 939.5630883522215, 1429.105931632277",50,40,0000000000000000110100000000000000001111,1225.0486862659454
8,100,[68.42373957],"47.466112048505856, 319.54793215986575, 441.6648890605064, 462.4579836009617, 928.300999756599, 1498.4295471839832",100,40,0000000000000000000000000000000000001111,1111.0439076423645
9,100,[18.45642176],"56.065070642918364, 312.1704830115262, 503.9655786165657, 597.765711367198, 1048.6598305639634, 1439.1410050348488",200,40,0000000011101111000000000000000000001111,1272.4804954528809
10,100,[5.55824308],"98.57897093848499, 421.966339356535, 700.3803102184038, 820.8075770309147, 1308.1788930877551, 1725.3460257123713",300,40,0100000101111000111100000000000000000000,1195.5756266117096
11,100,[7.26030057],"110.21583805174375, 495.94531762618226, 843.5177450180036, 984.512589829764, 1688.7599454177025, 2127.925396775553",400,40,1000100100111111110100100000001001000110,1233.292512178421
12,100,[12.9007992],"135.87691430795272, 709.1514575671869, 1286.9306489288974, 1366.3627517717339, 2351.995604569136, 3261.4742980451642",600,40,1001100110011111111110000101011001110111,1120.5940990447998
13,100,[20.32052849],"132.2533813548296, 895.9797113982661, 1257.0020729983992, 1392.313421950516, 2708.438387249691, 4061.836516406008",800,40,1001100110011111101101011111111111111110,1128.16917014122
14,200,[92.1734799],"49.99531265957372, 320.3147734802909, 466.0134734219756, 497.3944391841765, 967.6458242467124, 1397.4779201323702",50,40,0000000000001001000000000000000000001111,1402.245569229126
15,200,[43.17709667],"48.85970176012469, 324.9795457479752, 452.0226501462175, 508.1747798735501, 937.8458065857443, 1429.5236388307062",100,40,0000000000000000111100000000000000001111,1170.8804268836975
16,200,[21.5980716],"80.8325378145672, 410.3919997451246, 606.1028973185513, 703.2876672569922, 1114.5968491142114, 1714.0898705061347",200,40,0001010011000001110000110000000000001011,1214.3758363723755
17,200,[11.54463847],"129.22352319062415, 494.46149526276605, 804.4114994928809, 1007.2403212034721, 1414.1566464443317, 2087.2016380659384",300,40,0010101011111000111100000100000000000000,1190.0941216945648
18,200,[6.44462473],"161.68285826068714, 629.4426085969611, 1014.0379564241431, 1249.3179476172174, 1800.7142216318978, 2252.7031501568263",400,40,0110101011111111110111110010000000000010,1142.8478622436523
19,200,[4.83287993],"197.28242266039757, 853.8219929104888, 1403.8457506245502, 1740.3503879725813, 2416.915458316667, 3180.420749074741",600,40,1111110111111111101110010100110010000000,1179.1079874038696
20,200,[9.69753865],"198.94679827729777, 1025.2242104325508, 1694.135405651334, 1782.2511347134243, 2804.7318893862393, 4187.606699842527",800,40,1111111111111111111110101110101010100010,1072.798518896103
21,300,[60.16937686],"48.31022919792625, 327.0352933445637, 448.6151285718874, 475.3971470770926, 935.7504017457239, 1460.8585923428154",50,40,0000000000000000000100000000000000001111,1256.333466053009
22,300,[36.53589684],"54.63893737842946, 352.47222082439134, 501.7338061562017, 603.2278887130929, 973.8547781912592, 1484.3164921973594",100,40,0000000010110000110110000000000000001111,1264.7029693126678
23,300,[21.63952643],"98.90691589507202, 489.0645466587613, 702.5200867662013, 840.313532636065, 1254.9236567346009, 1814.0619767907197",200,40,1001001100011000000110000000000000001000,1273.1940762996674
24,300,[12.78028083],"140.53202131663463, 601.8849832945895, 951.6966561206356, 1166.5981333531538, 1502.1538118717635, 2061.7268211934947",300,40,1101100110011100001111010001000000001001,1284.4058768749237
25,300,[9.11446515],"166.37500836224098, 680.8277540271099, 1100.4747795490412, 1510.5154927388019, 1820.558638848444, 2357.0610648796383",400,40,1111100110011010110110010010000010000000,1419.973459482193
26,300,[10.66584942],"199.28391584147957, 904.883683385659, 1497.7445868035447, 1813.7952581077247, 2321.177587666079, 3231.662968429674",600,40,1101111111111111110110101100100010000000,1133.8159096240997
27,300,[15.86353012],"200.16238333503935, 1102.7650650396295, 1676.7605859146845, 1836.1218187549564, 2895.843761306515, 4272.3050862801265",800,40,1111111111111111111110111110111101010000,1173.4558742046356
28,500,[45.69547958],"65.93616612877273, 376.06144226147643, 584.7981570953045, 650.5875641346704, 1008.9248489029126, 1567.3407163404106",50,40,0000100010000000111110000000000000000001,1092.9768085479736
29,500,[34.82461073],"81.53444202853379, 422.7648424357889, 701.9221986805625, 776.8543358103402, 1099.769293938556, 1703.5096380001432",100,40,0001100010100000111111000000000000000001,1254.9728574752808
30,500,[21.16278082],"112.20031801955881, 598.8207641978656, 904.0171689446227, 1082.9513293558173, 1323.0202065769279, 1967.9333339615982",200,40,1001100110010000110111010001000000001000,1168.0492355823517
31,500,[15.96711414],"179.65554918294566, 723.9134200319465, 1131.4845297084673, 1406.33958364123, 1683.1002074470096, 2358.276187495118",300,40,1111101111011010001110011001000000000000,1206.3391788005829
32,500,[13.26136978],"191.10970088853853, 878.9253019006863, 1341.7748124958814, 1629.9253459222123, 2009.6612577425371, 2595.2798817083035",400,40,1111110101011101111111011001000100000000,1332.3014523983002
33,500,[15.27013827],"211.40366030378866, 1088.3582440089153, 1723.9889413094272, 1929.0275064768796, 2545.398098492306, 3607.6325388596338",600,40,1111111111111111111111111101010100100000,1412.1914641857147
34,500,[23.90474131],"201.94849569286708, 1156.3980655636817, 1778.5748256007391, 1857.2645394615058, 2918.3305865237994, 4482.752035769894",800,40,1111111111111111111111111111111001100000,1292.8707404136658
35,800,[40.27276655],"114.48088184002633, 567.0418359477378, 894.809090224144, 910.7621280787215, 1376.7925546937818, 1892.8474762637688",50,40,0001100110000111100110001000000000000000,1119.4234011173248
36,800,[32.00407387],"114.95795803070129, 537.2840815763897, 970.9565549291706, 1035.793159672989, 1264.8485016323905, 1975.311617137941",100,40,1001101011010000110111110000000000000000,1210.190987586975
37,800,[23.921649],"159.02397630792012, 667.9073291100743, 1194.0538483662924, 1388.6224549655922, 1618.8248487689284, 2298.8497768268926",200,40,1001111011011001010110110011000000000000,1096.222053527832
38,800,[19.31416115],"178.114505673839, 948.3254996805105, 1392.0265804622752, 1718.3391017366312, 1993.7541157129972, 2815.202168360274",300,40,1101110110011101110110111111001100000000,1217.5001730918884
39,800,[18.34406819],"206.99139021678238, 1012.7007893298884, 1595.6249455311834, 1886.358743433253, 2322.8329983647513, 3112.459556532424",400,40,1111111111011111111111111011001000010000,1031.053897857666
40,800,[25.68656846],"204.87395848660404, 1126.5716065002669, 1659.8510057730243, 1869.2644740490057, 2742.410088362505, 3829.8569439975267",600,40,1111111111111111111111111111101010010000,1213.9952037334442
41,800,[34.08852273],"190.8365992548255, 1159.4248080508723, 1652.9081803533159, 1775.9973091842905, 3025.5643520239955, 4758.721886474179",800,40,1111111111111011111111111111111111100000,1263.916808128357
42,1000,[37.27827133],"136.60636005619176, 618.6367173597722, 1027.2359871000585, 1150.9305968506862, 1389.801893370642, 2171.6923805161073",50,40,1001110101110001110011110100000000001000,1227.720056295395
43,1000,[31.6550296],"148.29283494461404, 666.2392066519722, 1170.2954194040767, 1268.9105318800423, 1603.0892999850973, 2189.3010575693434",100,40,1001010110111100101111111100000000000000,1173.790804386139
44,1000,[24.31901563],"184.64936735639202, 729.6611070918729, 1352.4879936403977, 1602.551188129477, 1804.4057873601473, 2427.7238558692015",200,40,1011101111101101011111111101000000000000,982.7646102905273
45,1000,[20.91295611],"204.50444087792505, 1028.3383788741876, 1598.03134468028, 1885.675798707979, 2107.426006288068, 2998.6569469710566",300,40,1111111110111011111111111111010100000000,1264.2690796852112
46,1000,[22.95699568],"212.71794959910642, 1072.5345219863423, 1766.9632368323985, 1917.969609194101, 2523.6439070501033, 3540.949980267541",400,40,1111111111111111111111111111001000100000,1328.7792766094208
47,1000,[30.33859139],"206.43653858779462, 1103.962978705847, 1769.49736903178, 1870.9846522895352, 2761.1566273983526, 4005.4382586544716",600,40,1111111111111111111111110111011010100000,1389.997811794281
48,1000,[38.0201042],"189.58006119056466, 1142.1177618759687, 1701.9669748228148, 1751.3965611760693, 3064.9924066071508, 4976.1220190280765",800,40,1111111111111111111111111111111101110100,1178.3366463184357
49,1500,[32.52381585],"171.50464592809604, 718.7166562851411, 1388.0918050048238, 1661.2315145474263, 1705.1652930693426, 2427.539692962976",50,40,1001111110110101111111111111000000000000,1288.164591550827
50,1500,[30.19325351],"184.6621247038904, 743.5956716026726, 1400.7124277628534, 1804.5005415498179, 1935.1480610113845, 2404.7995906502238",100,40,1111100111011101111111111111000000000000,1234.7717702388763
51,1500,[28.42624904],"217.3746579496011, 966.000101504577, 1666.371255370292, 1958.9348749057344, 2096.4210263036825, 2850.1944278689107",200,40,1111111111111111111111111111001000000000,1267.390370607376
52,1500,[30.85735328],"211.44451482989734, 1102.7187799159578, 1814.4563972046287, 1914.5182008191161, 2662.7311673472263, 3758.8957578795125",300,40,1111111111111111111111110111011000100000,1128.1075048446655
53,1500,[33.26180771],"211.44451482989734, 1102.7187799159578, 1814.4563972046287, 1914.5182008191161, 2662.7311673472263, 3758.8957578795125",400,40,1111111111111111111111110111011000100000,1169.196031332016
54,1500,[40.63173396],"194.55349181956703, 1109.7434916417378, 1711.0688642752707, 1779.7942268560662, 2918.262883912986, 4578.250384790045",600,40,1111111111111111111111111110111110100010,1170.936488866806
55,1500,[47.53473928],"182.85753241889802, 1033.7692449930885, 1641.872816611828, 1658.2562716751593, 2964.321806051378, 5549.452386165062",800,40,1111111111111111111110101111111101110110,1221.0752956867218
56,2000,[34.26612693],"206.49058200026278, 959.2231582323423, 1622.039531484904, 1915.1022443714512, 2092.6962649288753, 2793.368754607929",50,40,1111110111111111111111111111010000000000,1149.1171741485596
57,2000,[35.42042793],"216.8575896199039, 924.4537851509198, 1618.7935537949556, 1969.4239351850313, 2072.8530665804183, 2824.1146616039105",100,40,1111111111111111111111111111100000000000,1409.352507352829
58,2000,[36.94738416],"211.39760932884906, 1093.0341581393711, 1705.6079157662605, 1914.7794880758809, 2553.1647677745486, 3535.031209409351",200,40,1111111111111111111111110111010100010000,1186.2463495731354
59,2000,[38.39055431],"214.5689615045943, 1056.5664851726856, 1781.7628674597056, 1915.2973268205467, 2539.6182267150307, 3533.1307640075756",300,40,1111111111111111111111110111001000100000,1239.0318911075592
60,2000,[40.90871198],"206.43653858779462, 1103.962978705847, 1769.49736903178, 1870.9846522895352, 2761.1566273983526, 4005.4382586544716",400,40,1111111111111111111111110111011010100000,1291.2305700778961
61,2000,[48.54397836],"188.92804590097631, 1082.633879722281, 1603.1248516750984, 1757.201033579104, 2836.1111660394545, 5157.344653248292",600,40,1111111111011111110111111110111010100001,1212.6195757389069
62,2000,[56.21927327],"176.21198020102847, 1031.2785924806817, 1487.501383992305, 1602.9834302828922, 2739.5919669316777, 5196.419859737337",800,40,1111111111011011101011101110011011111000,1103.2084965705872
