,errorLimit,f1,fbest,freq,grad,nPop,sol,time
0,1,200,[5.32519556],"189.1399647190582, 819.6644903282685, 1421.162476788914, 1656.533855329179, 2478.7497183152373, 3222.870699634352",600,40,1111110111111111111110010100010001011000,3610.2473039627075
1,5,200,[4.89602281],"194.11494949643628, 846.6778208716486, 1383.7833589505933, 1763.3541735777876, 2417.5001951755216, 3218.8492125189496",600,40,1111110111111111111110010001101010010000,3104.272861480713
2,10,200,[9.90738199],"188.7214593430138, 806.2032877193432, 1317.7964895453138, 1655.0889767484541, 1988.0975264807369, 2995.9145721418377",600,40,1111111110111101111100011001000110000100,411.6952278614044
3,15,200,[11.63781266],"174.84508812270803, 808.5454888946492, 1276.3693593149735, 1398.514417663481, 2210.6598678973896, 3126.349623185115",600,40,0111101111111110111011010100100010100010,196.41268730163574
4,1,200,[4.23915346],"200.85675404453863, 818.0927893794608, 1393.233499555544, 1758.6095488373735, 2390.2725278589837, 3268.021114403623",600,80,1111111111111111111110010010110010010000,3616.91890501976
5,5,200,[4.719229],"200.41386750721526, 800.7656017519756, 1419.625871678355, 1776.704592098577, 2225.7180057089645, 3233.6211317060324",600,80,1111111111111111101110111000001111000000,1975.1452503204346
6,10,200,[9.31841091],"165.4950465300476, 803.2777181166297, 1330.1328069637568, 1546.6297083272818, 2368.815893127416, 3145.6784264475873",600,80,1011100111011101110110010010001100100100,404.3198616504669
7,15,200,[12.96734819],"171.09674553416525, 755.7255908622594, 1337.1158902829982, 1346.581654119089, 2162.3997375818117, 3322.3917443866576",600,80,1011011111111011111010000111100010100000,318.62859559059143
8,1,200,[4.72058988],"198.51840795169818, 822.8219743600879, 1422.0067994128037, 1728.3669915058679, 2352.794580881567, 3197.8070053729143",600,100,1111111111111111111110011000010011000001,3627.8769862651825
9,5,200,[4.96545501],"198.60859833877896, 855.4450126020761, 1402.6718005141176, 1759.7297915605332, 2346.3902947409033, 3193.3494421690607",600,100,1111111111011111110110010001001010100000,3490.8423812389374
10,10,200,[9.99419836],"182.8130605628431, 880.3013703848172, 1440.1964129843911, 1477.0041770232042, 2368.5159290012075, 3309.1152685638813",600,100,1111110111110111111101110010001001011001,688.1888520717621
11,15,200,[11.43935687],"171.22098556899138, 864.5471718051375, 1366.6687878927332, 1376.773236607546, 2557.2930874010494, 3551.792797190008",600,100,1111111011111111111110010011100111010111,557.8235924243927
12,1,200,[5.20757074],"200.57236101128015, 869.0600252406073, 1394.090830756731, 1755.5432314191603, 2400.638526642374, 3264.4502346771715",600,40,1111111111111011111111001001000100110000,3609.073383331299
13,5,200,[4.93971103],"197.64038724975399, 823.0148176658746, 1427.8201442456275, 1713.5038347508967, 2362.852256466461, 3195.2454690220425",600,40,1111101111111111111101011000100101000000,2749.553825855255
14,10,200,[9.04623198],"175.38665313077843, 844.510681898495, 1382.2531215598422, 1574.0606520739261, 2371.7061142964303, 3361.975923202217",600,40,1111110111111011111110001111100011001001,337.83912229537964
15,15,200,[13.81170666],"154.44453408918707, 806.6307902529907, 1312.2741518012851, 1393.0512236995382, 2094.0018947232998, 3302.035898182911",600,40,1001111110111110100011111011001010010100,258.2696237564087
16,1,200,[4.5644351],"201.84555456344012, 814.169863438478, 1389.7951497964177, 1674.3024369112152, 2428.372749222759, 3165.511799518288",600,80,1111111111111111111101011000100010001000,3616.0517675876617
17,5,200,[4.88251111],"199.35590871198326, 809.8060938548967, 1449.496949026522, 1803.8189024180526, 2262.187513881935, 3154.882555987697",600,80,1111111111011111101111010001110001000000,1858.5697166919708
18,10,200,[8.23204321],"193.53084018538053, 832.05041325468, 1499.488835260972, 1571.4603178428995, 2296.16129901657, 3261.822219453841",600,80,1111101111111111101101100010010001001000,749.8758842945099
19,15,200,[11.00183542],"180.9831049441681, 864.9512559332086, 1448.6525619862323, 1460.9172847650023, 2238.967845683959, 3330.1915882335434",600,80,1111111111101111101101110011100101001110,308.3524000644684
20,1,200,[5.13817222],"197.86768278933118, 844.8152165714138, 1434.0012284373406, 1796.9269717540187, 2306.166109153398, 3208.8754739026203",600,100,1111101111111111110110010001101001000000,3625.874401330948
21,5,200,[4.90399921],"198.62230828312116, 806.454131339886, 1401.4322519310972, 1688.9774219416338, 2320.910211314453, 3150.6967124330818",600,100,1111111111111111111111010010010010011000,2290.39359664917
22,10,200,[9.96343157],"177.91700376857813, 885.9971423927924, 1396.992610293427, 1611.999959181631, 2139.882452001478, 3178.3102665365614",600,100,1101110110111010111010011101001001000000,1043.232117176056
23,15,200,[12.22066969],"173.86073162377178, 870.5951415951378, 1341.3769898051353, 1390.5421206706956, 2382.117816313953, 3468.4689731462363",600,100,1101011101111111110111000100101110100000,269.9829218387604
24,1,200,[4.72058988],"198.51840795169818, 822.8219743600879, 1422.0067994128037, 1728.3669915058679, 2352.794580881567, 3197.8070053729143",600,40,1111111111111111111110011000010011000001,3609.3731966018677
25,5,200,[4.93680144],"197.8984683234117, 814.672786032023, 1396.6457017056632, 1722.0807544766335, 2280.989077534788, 3210.58363730233",600,40,1111111111111111101111001001001000100001,1838.8538727760315
26,10,200,[9.09703999],"177.99045225901295, 837.6178139166753, 1384.4948784009978, 1504.6647541960895, 2395.685298837293, 3364.566740574168",600,40,1111111111010101111110010010001001110001,465.97239446640015
27,15,200,[13.95770488],"167.5324080058648, 868.0786822382073, 1331.190915367763, 1417.573788916641, 1999.561925237187, 3140.077416932845",600,40,1011011111011011010101110111010000010010,110.231374502182
28,1,200,[4.55843307],"198.48018905781612, 837.3829605951263, 1404.224162112323, 1684.5022634196428, 2450.9716549412924, 3203.499223392985",600,80,1111111111011111111110100001000101010000,3623.60835647583
29,5,200,[5.20832585],"194.74589306117326, 842.8774262285052, 1399.6746623553222, 1738.2816618281736, 2338.561341247173, 3196.8404795062734",600,80,1111111111011111111110010001001011010000,3623.750925064087
30,10,200,[9.82433261],"173.84237333338422, 880.5775629567621, 1372.1826572723924, 1651.009127286054, 2262.292205816229, 3307.831325716926",600,80,1111111110011111100110111001001010101010,552.9918103218079
31,15,200,[14.51961908],"153.95677190280222, 819.2284840369398, 1245.6598955248394, 1288.3056381223726, 2434.266399957272, 3478.6931023648776",600,80,1111101101011111011100011101110001101110,297.8351204395294
32,1,200,[4.97968099],"198.10501076511832, 809.5534728265761, 1398.696434313189, 1730.4563533213816, 2266.346830474639, 3157.3344379201944",600,100,1111111111111111111110010001001010010100,3623.1524670124054
33,5,200,[4.40714711],"198.37244745409922, 800.5034827819086, 1365.8333754644932, 1717.7471425665165, 2370.94289119444, 3206.501317648682",600,100,1111111111111111111110010100100110001000,1636.1551160812378
34,10,200,[9.27067081],"178.5355999678772, 872.2598423994174, 1428.1660428164919, 1602.0540050080779, 2244.5784750984917, 3191.035970379524",600,100,1101110111111101111011110011000110101000,1130.397997379303
35,15,200,[13.64553443],"163.23898030806438, 809.8631768543371, 1306.0147375618221, 1368.597684907953, 2187.004936502549, 3458.9448096088213",600,100,1011111011101101101110001111010000110010,274.37402844429016
36,1,200,[4.84350797],"198.3182353887339, 816.6967321920193, 1422.8135023205766, 1731.2905141784095, 2325.595751268661, 3216.4497360516566",600,40,1111111111111111111110011000010010100001,3611.9235150814056
37,5,200,[6.63733622],"198.26004788692737, 813.4728161270019, 1467.6036220904152, 1547.5149174005865, 2384.2552581079885, 3248.6073695142795",600,40,0111111111111111111100110100010001000000,3613.6541011333466
38,10,200,[9.72258766],"174.09644884061154, 854.051139364299, 1348.7168696360948, 1560.100773311442, 2293.5883953202997, 3237.8961336969014",600,40,1101101110111110111101010001100100010010,415.73380184173584
39,15,200,[14.83480498],"178.0749659185977, 793.2367624818501, 1186.0003813573817, 1393.0994086636845, 1892.3201476178297, 3060.744458390892",600,40,1111011101110110011101100101000100000110,257.8113934993744
40,1,200,[4.6032864],"197.91171550973394, 817.5252024797425, 1399.9683503010854, 1660.6702969423272, 2424.391633477706, 3221.184386156119",600,80,1111111111111111111111100001000110010100,3618.4607973098755
41,5,200,[4.89103928],"196.7716436874232, 835.2396218540124, 1396.2950787183206, 1699.7285949341447, 2443.893466290861, 3265.4335952055703",600,80,1111111111111111111111001001000100110001,2094.4495680332184
42,10,200,[9.90847688],"182.92387374481953, 870.6095436887936, 1467.2787598935763, 1555.902907664464, 2247.2694871964068, 3151.693865233749",600,80,1101110111011111011100110110010010001000,644.3489997386932
43,15,200,[13.84861541],"159.0550579367907, 867.8773187915771, 1320.58683359384, 1447.826577633012, 2404.298683618653, 3626.449367167932",600,80,1001101101111011101101100100111001100000,505.45473074913025
44,1,200,[4.27422009],"200.46959772043434, 800.8639730876696, 1401.348654516603, 1774.7895715076136, 2265.033745773569, 3166.0046818262445",600,100,1111111111111011111110011000001010100000,3627.4460051059723
45,5,200,[5.50613284],"190.7498385802508, 830.5434790718472, 1399.8616851874892, 1715.1978394804273, 2341.7328413333958, 3213.1341284652935",600,100,1111101111111111110110011000010101001000,3629.2952029705048
46,10,200,[9.47532255],"180.5134213894998, 924.7033680436954, 1411.1717844632412, 1619.3520781275815, 2367.7345606507324, 3288.2258620237585",600,100,1111101111111101010111110011101000101001,922.2000284194946
47,15,200,[11.10923499],"171.7601148676957, 889.9670616893336, 1401.3986328136184, 1428.9996688518124, 2398.363076148525, 3356.300783122214",600,100,1111101111101110111110111100010010110101,633.2113325595856
48,1,200,[5.04352502],"197.37279282463896, 808.4778170942933, 1403.0563960736959, 1683.424499067871, 2300.972647705875, 3189.1302924494803",600,40,1111111111111111101111100001010110001000,3609.2110047340393
49,5,200,[5.16775467],"198.2698215145236, 839.8957855779613, 1406.9861381923872, 1679.27170283025, 2379.2849573407484, 3195.8399759206463",600,40,1111111111111101110110010010001000101000,3610.7007718086243
50,10,200,[9.50174149],"178.83867814654505, 839.9230788990257, 1434.0611966959555, 1505.050130982262, 2326.970454912625, 3320.2505842202368",600,40,1011111111101111111100011101010100101000,399.45184445381165
51,15,200,[14.80332492],"159.27338987161448, 874.4826244241966, 1329.8232199210652, 1412.965717117809, 2504.642228625954, 3875.6597920221307",600,40,1101101111101111101001100101011111001100,209.0377836227417
52,1,200,[4.95307788],"195.87066356849618, 835.3801755835033, 1412.6415590128013, 1698.6254480143746, 2412.1993830520846, 3198.832629296651",600,80,1111111111011111111101111000100100110000,3617.5947649478912
53,5,200,[4.99353126],"196.45168408456664, 814.6046903898173, 1406.4643077997214, 1717.0908099047617, 2305.50809010891, 3213.6843399465265",600,80,1111111110111111101110010100001001010000,3135.198354244232
54,10,200,[9.80318534],"179.20486157701396, 852.3152139001589, 1400.606994855798, 1470.658676184824, 2230.8726288827875, 3237.5843692520616",600,80,0111111111011001111111110001101001010000,812.903306722641
55,15,200,[14.0676164],"167.6617821652939, 861.9946910473047, 1278.839134262507, 1353.213160467582, 2115.0332669306854, 3226.911901656692",600,80,0111110101111101000111111011001001000000,220.14939641952515
56,1,200,[4.89103928],"196.7716436874232, 835.2396218540124, 1396.2950787183206, 1699.7285949341447, 2443.893466290861, 3265.4335952055703",600,100,1111111111111111111111001001000100110001,3624.2527673244476
57,5,200,[5.19484821],"197.9582976069171, 803.3574943448073, 1478.8128001528528, 1770.4805341117155, 2280.515401744051, 3189.272860675627",600,100,1111111111111111111111010011100011000010,3623.5435926914215
58,10,200,[9.80443512],"174.44528918627316, 906.9106167416468, 1352.7497950526877, 1619.4373260986492, 2340.623305123684, 3209.800102085115",600,100,1111101111011101111101010011001111001001,663.0109055042267
59,15,200,[14.734406],"160.8881725321359, 782.0767669966586, 1176.1676282506012, 1377.5183503726887, 2194.0154001460655, 3324.262937624025",600,100,1011111110111001110000111001101010000100,280.03001165390015
60,1,200,[5.24005781],"192.88810889076606, 802.1576495402677, 1441.7250615279863, 1689.8125714981074, 2364.153332957855, 3201.72596728595",600,40,1111110111011111111101011000010101000000,3612.4330258369446
61,5,200,[5.52834539],"191.5822958587464, 851.3721414141206, 1418.3038081131465, 1685.053288817937, 2460.481372812073, 3203.8032358487594",600,40,1111110111011111110110010100010001010000,3618.785912513733
62,10,200,[9.32237465],"185.68833043569964, 869.6353378610565, 1421.3116528708063, 1499.485541196347, 2281.5231636561575, 3240.8608942684255",600,40,1111111101111111110111010101100010100011,274.228196144104
63,15,200,[10.3247484],"158.045065702385, 791.7784866052159, 1370.5332930550987, 1526.8071391528897, 2278.7786744416803, 3258.3763163345784",600,40,1101100110111111110111101000011010100101,230.97610473632812
64,1,200,[5.60068154],"196.27715200432354, 862.212411404019, 1424.8480834704355, 1724.1108875792518, 2412.0817699589834, 3162.5865320395674",600,80,1111111111111111111110111000101000101001,3616.8816981315613
65,5,200,[5.17458456],"198.68599928865115, 815.9796480894213, 1433.166800030983, 1762.2858242839889, 2242.965254368472, 3212.997743427455",600,80,1111111111011111110110010010110000100000,3637.533373594284
66,10,200,[9.52648238],"170.649726978235, 776.4678557765569, 1381.215057856688, 1513.881868886158, 2465.8473762111616, 3479.51472884194",600,80,1111101011111111111110000110001001100100,809.2448966503143
67,15,200,[10.60507903],"162.4874540151846, 813.7870982339482, 1424.000731660309, 1515.17002073177, 2348.297612071071, 3440.4517090621407",600,80,1001111111111111100011110011001100010001,216.54151344299316
68,1,200,[4.43017084],"200.1493483911593, 814.2896350868906, 1408.0014241303588, 1734.5136220222396, 2320.298949670433, 3196.2699336568517",600,100,1111111111111011111110010010000101010000,3621.3458461761475
69,5,200,[4.90710937],"194.11742881371734, 846.7364567065321, 1383.8184127774582, 1763.068290139937, 2416.9081220095622, 3219.6769631740153",600,100,1111101111111111111110010001101010010000,1949.552499294281
70,10,200,[9.40059502],"173.26309150319787, 836.4378911284703, 1436.360443784407, 1558.4562226363444, 2463.2090266250193, 3473.434393270331",600,100,1011101111111011111101010010101011101000,783.9589838981628
71,15,200,[13.38137564],"163.45530342453605, 780.021931985349, 1388.103575099234, 1398.3710515554737, 2132.5978462425874, 3539.5343711659134",600,100,1011110111110111101011111000011100010011,280.1208109855652
